CustomerID,Recency,Frequency,Monetary,Cluster
12465,4944,47,742.1899999999999,0
12468,5114,38,729.5400000000001,1
12471,4929,459,19788.65,0
12472,4959,339,6572.11,0
12473,4956,167,3928.0499999999997,0
12474,4944,422,7324.09,0
12475,4980,36,723.38,0
12476,4942,233,6816.42,0
12477,4949,300,13219.74,0
12478,4930,36,680.99,0
12479,4938,31,527.2,0
12480,4955,154,3281.63,0
12481,4949,216,5579.82,0
12483,4944,75,2484.98,0
12484,4959,343,4527.32,0
12488,4936,55,1298.66,0
12489,5263,15,334.93,1
12490,4932,245,5417.93,0
12491,4965,26,460.40000000000003,0
12492,4990,20,263.21000000000004,0
12493,5092,22,433.74,1
12494,4942,77,1246.1000000000001,0
12497,5008,14,1043.1,0
12498,4948,23,403.70000000000005,0
12500,4950,61,4257.82,0
12501,5263,149,2169.39,1
12502,5022,147,3723.87,0
12504,4945,9,482.04999999999995,0
12506,5159,23,73.5,1
12507,5061,21,1304.81,0
12508,4953,68,397.88,0
12509,5211,7,176.5,1
12510,5069,33,982.5699999999999,0
12512,4993,31,132.18,0
12513,5039,35,612.29,0
12514,5194,51,1017.68,1
12515,5280,16,383.7,1
12516,5004,26,1312.06,0
12517,4955,279,2481.6,0
12518,4927,124,2056.89,0
12519,4990,17,330.84,0
12520,5006,152,2634.26,0
12521,5069,38,599.68,0
12522,4966,12,192.72,0
12523,4946,106,1789.77,0
12524,4936,144,4485.72,0
12526,4927,71,1316.66,0
12527,5008,18,348.71000000000004,0
12528,4936,92,1933.48,0
12530,4986,66,1662.28,0
12531,4941,17,125.22,0
12532,4957,16,349.83000000000004,0
12534,5057,63,1089.18,0
12535,5018,34,716.35,0
12536,4970,261,12601.830000000002,0
12538,4956,21,363.95,0
12539,4949,273,5568.35,0
12540,4946,478,13400.24,0
12541,4956,52,981.18,0
12544,4963,19,372.7,0
12545,5002,50,1000.39,0
12546,4973,69,1161.5,0
12547,5124,8,207.79999999999998,1
12548,5093,5,95.19999999999999,1
12550,5006,57,964.83,0
12551,5284,10,168.0,1
12552,4965,20,437.82,0
12553,4935,191,3692.28,0
12556,4977,119,599.56,0
12557,4943,33,11990.960000000001,0
12558,4934,11,269.96,0
12559,5237,21,561.71,1
12560,4932,105,2134.01,0
12561,5229,16,238.85,1
12562,4935,168,3781.7400000000002,0
12564,5188,21,456.9,1
12565,5215,9,145.92,1
12566,5013,19,351.65,0
12567,4949,446,9401.28,0
12569,4929,188,4124.69,0
12571,4966,34,519.61,0
12572,4935,60,1020.42,0
12573,5154,28,160.54000000000002,1
12574,5242,11,218.45,1
12576,4962,88,1315.83,0
12577,4962,146,626.6,0
12578,4948,114,2794.51,0
12579,5005,29,440.42,0
12580,5173,24,415.7,1
12581,4966,15,197.71,0
12582,5165,22,511.36,1
12583,4929,247,7281.38,0
12584,4930,96,2338.15,0
12585,5161,87,2040.1,1
12586,4944,11,196.94000000000003,0
12587,4934,4,144.0,0
12588,4966,10,214.89999999999998,0
12589,4955,35,646.68,0
12590,5138,68,9864.26,1
12591,5244,26,452.84999999999997,1
12592,5019,18,437.6,0
12593,5035,21,418.09999999999997,0
12594,4964,118,3338.2200000000003,0
12596,4978,27,618.27,0
12597,4946,206,3811.22,0
12598,4936,132,3023.08,0
12599,4956,62,1032.58,0
12600,4955,64,2599.04,0
12601,5116,28,577.0600000000001,1
12602,4985,12,153.12,0
12603,4948,2,739.1999999999999,0
12604,5006,16,254.18,0
12607,4987,101,1579.51,0
12609,5005,60,1126.85,0
12610,4949,106,2099.54,0
12611,4979,65,1193.32,0
12612,5001,19,704.0400000000001,0
12613,4984,153,3344.38,0
12614,5204,20,315.6,1
12615,4929,105,2291.19,0
12616,5022,32,713.3,0
12617,4956,41,352.98,0
12618,4948,11,177.31,0
12619,4943,90,3641.24,0
12620,4941,92,1339.41,0
12621,4928,467,13689.67,0
12622,5159,11,180.1,1
12623,5203,18,305.1,1
12624,5033,38,641.13,0
12625,5138,86,2683.82,1
12626,4950,294,6620.48,0
12627,4937,230,4478.53,0
12628,4931,41,786.46,0
12630,4936,64,1270.88,0
12631,4984,31,640.5,0
12633,4985,101,2163.98,0
12635,5016,101,1689.18,0
12637,4994,382,6002.9,0
12638,4960,39,671.69,0
12639,5165,22,486.1,1
12640,4950,53,1174.58,0
12641,5042,10,185.9,0
12642,4952,47,1013.26,0
12643,5055,24,3344.64,0
12644,5056,31,477.91,0
12645,4960,73,1775.18,0
12646,4931,45,1346.97,0
12647,4949,121,3722.82,0
12648,5081,21,318.05,1
12649,5034,31,623.51,0
12650,4930,20,314.44,0
12651,5261,9,114.0,1
12652,5258,48,919.98,1
12653,5075,43,2209.85,1
12654,4937,38,601.98,0
12656,4944,126,4051.17,0
12657,4938,47,1643.18,0
12658,4945,36,686.05,0
12659,4956,5,91.68,0
12660,4938,13,245.1,0
12662,4927,230,3849.78,0
12664,4935,37,4881.88,0
12665,5251,3,63.0,1
12667,4985,33,620.13,0
12668,4938,161,3807.15,0
12669,5077,101,2744.0299999999997,1
12670,4937,92,2996.05,0
12672,5256,10,225.89999999999998,1
12673,4932,42,610.52,0
12674,4965,83,1970.6,0
12676,4951,45,1331.39,0
12678,4969,165,17628.46,0
12679,4985,48,1113.02,0
12680,4927,52,862.81,0
12681,4941,638,13787.54,0
12682,4930,524,12279.82,0
12683,4931,344,8476.57,0
12684,4934,105,2283.63,0
12685,4955,157,2863.08,0
12686,5298,7,89.14,1
12688,5040,171,4873.8099999999995,0
12689,4952,72,1247.61,0
12690,5132,16,389.01,1
12691,4955,32,1035.8,0
12693,5054,39,855.91,0
12694,4997,37,869.67,0
12695,4934,27,582.1,0
12697,4955,41,957.59,0
12700,4934,268,4939.99,0
12701,5006,53,797.71,0
12702,4946,12,219.0,0
12703,4998,21,283.55,0
12704,4934,88,2340.84,0
12705,4942,334,6868.29,0
12707,5218,33,603.42,1
12708,4956,157,2712.91,0
12709,4942,207,9706.52,0
12710,5023,77,1149.02,0
12712,4955,133,4396.13,0
12713,4927,38,848.55,0
12714,4936,259,4708.86,0
12715,5033,20,343.36,0
12716,4930,69,1053.49,0
12717,5078,55,1030.98,1
12718,4998,19,238.25,0
12719,4932,39,644.95,0
12720,4929,354,5781.73,0
12721,4958,161,2656.13,0
12722,5012,53,997.63,0
12723,4930,69,725.07,0
12724,4932,53,1031.41,0
12725,5298,24,427.8,1
12726,4955,124,2609.1,0
12727,4937,139,3980.7,0
12728,4998,46,836.33,0
12729,5040,26,453.01,0
12731,4950,274,18895.91,0
12732,5106,12,236.26000000000002,1
12733,5161,22,383.95,1
12734,5279,4,110.39999999999999,1
12735,5242,43,779.5699999999999,1
12736,5259,4,234.0,1
12738,5299,11,155.35,1
12739,5005,38,1013.04,0
12740,4990,27,427.6,0
12743,5061,131,540.13,0
12744,4978,222,21279.29,0
12747,4929,103,4196.01,0
12748,4927,4412,33053.19,2
12749,4930,199,4090.88,0
12750,5055,15,275.88,0
12752,5008,53,4366.78,0
12753,4949,197,21429.39,0
12754,5162,63,3010.74,1
12755,5207,4,3811.95,1
12756,5013,4,112.07999999999998,0
12757,4942,364,7834.650000000001,0
12758,5043,97,2791.59,0
12759,4979,95,1531.44,0
12762,4934,69,1898.52,0
12763,5065,18,494.08,0
12764,5243,45,1693.88,1
12766,4930,310,6989.63,0
12769,5165,32,1143.6,1
12770,5137,12,1351.45,1
12772,4986,55,892.47,0
12775,4944,66,1386.04,0
12778,4946,50,822.23,0
12779,4964,149,3981.36,0
12781,4990,25,826.74,0
12782,4931,103,2330.92,0
12783,4929,84,2225.91,0
12784,4936,57,532.8199999999999,0
12785,5291,14,311.95,1
12787,4936,20,463.66,0
12789,4992,4,91.85,0
12790,5119,21,324.92,1
12791,5300,2,192.60000000000002,1
12792,5183,25,400.53999999999996,1
12793,5261,24,545.48,1
12794,4980,45,860.41,0
12795,4945,14,430.48,0
12797,5292,13,254.03,1
12798,4937,8,6977.04,0
12802,5113,25,427.58,1
12808,4963,28,483.65000000000003,0
12809,5104,25,489.31,1
12811,5187,31,514.85,1
12812,4971,15,229.64000000000001,0
12814,5028,2,125.92,0
12815,5074,47,1063.46,1
12816,5022,29,572.2,0
12817,5208,4,166.04,1
12818,5188,14,1542.08,1
12820,4930,59,942.34,0
12821,5141,6,92.72,1
12822,4997,46,948.88,0
12823,5001,5,1759.5,0
12824,4986,25,397.12,0
12826,4929,91,1474.72,0
12827,4932,25,430.15000000000003,0
12828,4929,56,1018.71,0
12829,5263,11,293.0,1
12830,4964,38,6814.64,0
12831,5189,9,215.05,1
12832,4959,27,383.03,0
12833,5072,24,417.38,1
12834,5209,18,312.38,1
12836,4986,174,2610.36,0
12837,5100,12,134.1,1
12838,4960,120,671.95,0
12839,4929,314,5591.42,0
12840,5070,113,2726.77,0
12841,4931,414,3991.58,0
12842,4997,34,1118.99,0
12843,4992,103,1702.26,0
12844,4956,52,325.96000000000004,0
12845,5194,27,354.09,1
12847,4949,84,843.64,0
12849,4958,48,1010.29,0
12851,5023,47,131.81,0
12852,5221,17,311.55,1
12853,5061,78,1957.1000000000001,0
12854,5005,109,1316.25,0
12855,5299,3,38.1,1
12856,4934,311,2170.78,0
12857,5137,46,1106.4,1
12863,4979,5,521.2,0
12864,5065,3,147.12,0
12865,4953,95,1568.23,0
12866,5210,26,559.12,1
12867,4953,534,4009.34,0
12868,5112,107,1607.0600000000002,1
12871,5011,11,380.64,0
12872,5253,66,599.97,1
12873,5209,4,374.0,1
12875,5070,2,343.2300000000001,1
12876,4984,85,2218.02,0
12877,4930,154,1535.77,0
12878,5163,47,854.99,1
12879,4971,10,573.22,0
12881,5202,7,298.0,1
12882,4936,13,1463.04,0
12883,4951,42,703.47,0
12884,5015,7,309.05,0
12885,4990,71,1175.22,0
12886,4994,82,1378.4,0
12888,5141,5,354.12,1
12890,4951,79,376.71999999999997,0
12891,5112,3,331.0,1
12893,4957,31,176.55,0
12895,4969,22,372.8,0
12897,5131,4,216.5,1
12901,4935,116,17654.54,0
12902,5191,10,138.68,1
12904,4945,71,496.06,0
12906,4938,63,2919.81,0
12908,5103,2,750.0,1
12909,4966,91,2178.67,0
12910,4950,75,3075.04,0
12912,4929,24,1662.3,0
12913,4931,50,2483.63,0
12915,5075,22,363.65,1
12916,5065,103,2944.95,0
12917,5055,2,594.0,0
12919,4935,50,1335.19,0
12920,4944,27,162.78,0
12921,4936,720,16587.09,0
12922,5088,28,405.38,1
12923,4991,28,172.82,0
12924,5015,30,933.7,0
12925,4931,45,694.05,0
12928,4962,84,2062.7000000000003,0
12929,5238,8,117.85,1
12930,5005,25,415.8,0
12931,4948,82,42055.96,4
12933,4951,106,607.53,0
12935,4929,129,2160.7,0
12936,4944,62,1063.9,0
12937,4942,120,1504.27,0
12938,4952,9,114.14,0
12939,4991,47,11581.8,0
12940,4981,96,899.69,0
12942,5058,70,675.6,0
12944,4962,30,604.51,0
12945,5215,23,462.95,1
12947,5070,97,1603.99,0
12948,4943,116,2064.95,0
12949,4957,215,4167.22,0
12950,4929,23,1843.0,0
12951,4935,63,1064.07,0
12952,4932,79,1387.79,0
12953,4936,17,329.85,0
12955,4928,180,4757.16,0
12956,5233,19,108.07,1
12957,4936,238,4017.54,0
12962,4934,16,266.39,0
12963,4935,95,1856.63,0
12965,5016,108,769.8100000000001,0
12966,4936,10,160.18,0
12967,5285,19,1660.9,1
12968,5039,5,135.95,0
12970,4934,129,405.47,0
12971,4930,305,11189.91,0
12974,5124,8,144.8,1
12976,5138,22,738.6,1
12977,5083,9,39.239999999999995,1
12980,5084,20,7374.900000000001,1
12981,4956,20,372.21999999999997,0
12982,5169,28,390.54,1
12984,4945,4,97.5,0
12985,4927,76,1239.38,0
12987,5000,28,558.7,0
12988,5219,83,505.82,1
12989,4930,64,6924.110000000001,0
12990,4958,13,409.5,0
12991,4950,31,503.76,0
12993,4950,27,414.76,0
12994,4931,61,974.4200000000001,0
12995,5012,3,211.32,0
12997,4949,59,1226.89,0
12999,5123,28,455.88,1
13000,5033,31,534.85,0
13001,4931,337,9785.970000000001,0
13002,5245,7,120.94999999999999,1
13003,5032,6,149.05,0
13004,4938,404,5655.91,0
13005,5100,26,513.7,1
13006,4983,4,81.57,0
13008,5250,14,229.46999999999997,1
13011,5299,3,50.550000000000004,1
13012,4936,88,1646.8400000000001,0
13013,4928,219,4810.9400000000005,0
13014,4937,109,3466.2799999999997,0
13015,4980,175,3339.64,0
13016,5000,47,789.89,0
13017,4934,1,204.0,0
13018,4943,458,7277.7,0
13021,4931,131,2616.38,0
13023,4991,40,689.9,0
13026,4928,40,975.36,0
13027,5040,26,6912.0,0
13028,4949,45,661.3199999999999,0
13029,4957,10,1247.5,0
13030,4938,92,752.4399999999999,0
13032,4979,71,1010.18,0
13033,5284,11,190.55,1
13034,4981,37,642.77,0
13035,5000,27,921.88,0
13037,5065,48,881.07,0
13038,5007,28,908.46,0
13040,4935,43,676.99,0
13043,5200,13,516.42,1
13044,5218,33,560.47,1
13045,5026,18,305.28000000000003,0
13046,4957,35,629.31,0
13047,4958,172,3237.54,0
13048,4941,135,1819.41,0
13049,4991,14,656.6800000000001,0
13050,4941,403,5836.86,0
13052,5139,18,348.15000000000003,1
13055,5005,76,1214.41,0
13058,4951,8,271.40000000000003,0
13059,5176,8,183.4,1
13060,5180,15,307.53,1
13061,4999,10,248.61,0
13062,5118,11,346.98,1
13064,4939,68,1105.59,0
13065,5300,14,205.86,1
13066,4951,48,470.8,0
13067,5009,15,115.46000000000001,0
13068,4937,2,344.0,0
13069,4927,424,4431.44,0
13070,5119,9,228.8,1
13072,5193,7,177.15,1
13075,5056,22,919.61,0
13077,4928,111,728.02,0
13078,4930,358,12627.94,0
13079,4931,6,220.10000000000002,0
13080,5106,6,58.08,1
13081,4938,1024,28337.38,4
13082,5053,73,3613.63,0
13083,4931,18,303.75,0
13085,5084,22,416.08000000000004,1
13089,4929,1814,58762.08,4
13090,4935,155,8910.82,0
13091,4955,21,345.82,0
13092,4997,25,477.83,0
13093,5202,159,7832.47,1
13094,4948,24,1927.3200000000002,0
13095,4997,6,74.39999999999999,0
13097,4959,421,6003.22,0
13098,4928,572,28882.44,4
13099,5026,1,207.35999999999999,0
13101,5161,8,101.19,1
13102,4928,304,6424.09,0
13103,4966,8,243.94,0
13104,4930,20,1098.48,0
13106,5060,1,76.5,0
13107,4971,58,1531.6200000000001,0
13108,5299,10,350.06,1
13109,4986,47,786.54,0
13110,4958,145,1488.67,0
13113,4927,200,12245.960000000001,0
13115,4938,120,2294.78,0
13116,5065,30,501.14,0
13117,4948,76,984.91,0
13118,4946,79,1197.81,0
13120,5165,1,30.599999999999998,1
13121,5196,50,283.73,1
13122,5021,55,922.39,0
13124,5016,222,3756.33,0
13126,4931,140,2099.64,0
13127,5004,15,259.17,0
13130,5021,2,64.0,0
13131,4950,44,1073.3,0
13132,5188,3,77.3,1
13133,5200,7,109.8,1
13134,5012,98,1793.58,0
13135,5123,1,3096.0,1
13136,4983,127,2607.61,0
13137,4937,687,3603.29,0
13138,4949,63,962.39,0
13139,4943,170,5064.94,0
13140,5035,45,422.47,0
13141,5011,135,2388.75,0
13142,4946,23,307.09,0
13144,5259,3,110.95,1
13145,4966,6,618.52,0
13146,4953,17,228.91,0
13147,4937,4,712.8000000000001,0
13148,4956,312,3683.26,0
13149,4941,86,1676.06,0
13151,5222,74,1257.8700000000001,1
13153,4932,15,486.22,0
13155,4960,85,971.76,0
13157,4976,87,1741.22,0
13158,5021,79,1201.06,0
13159,4935,120,1429.35,0
13160,4949,4,91.8,0
13161,5240,8,112.75,1
13162,5049,79,1688.29,0
13165,4973,42,1021.48,0
13166,5210,41,417.2,1
13167,4945,65,791.33,0
13168,4963,126,1299.59,0
13169,4990,13,712.88,0
13170,4953,30,108.81,0
13171,4948,46,468.41,0
13173,4931,43,353.65,0
13174,4943,293,2742.82,0
13176,4973,67,481.49,0
13177,4991,17,282.45,0
13178,4953,265,5725.47,0
13182,4972,11,121.18,0
13183,4934,94,3957.78,0
13184,4941,179,1668.95,0
13185,5194,1,71.4,1
13186,4966,79,1575.89,0
13187,5264,37,236.02,1
13188,4938,2,114.60000000000001,0
13189,4945,29,260.68,0
13192,5022,63,911.94,0
13193,4988,25,112.08,0
13194,5062,3,60.7,0
13196,4938,110,1797.78,0
13198,4937,226,3401.2400000000002,0
13199,4930,119,9817.12,0
13200,4946,46,870.09,0
13203,4936,57,869.46,0
13207,4942,8,250.26000000000002,0
13208,4985,148,1217.65,0
13209,4957,321,5891.61,0
13210,5020,22,353.48,0
13211,4937,55,1095.42,0
13212,4946,141,786.83,0
13213,4983,90,1520.58,0
13216,5194,5,333.74,1
13217,5049,4,533.98,0
13218,5054,5,62.63999999999999,0
13220,5005,21,819.2900000000001,0
13221,5167,66,847.41,1
13223,5127,5,163.20000000000002,1
13224,4987,108,2155.95,0
13225,4930,32,6463.84,0
13226,5200,16,108.21000000000001,1
13227,5128,9,257.7,1
13228,5008,2,358.0,0
13229,5152,10,160.95,1
13230,4931,587,2755.63,0
13232,4939,202,1328.35,0
13233,5001,43,605.12,0
13235,5139,58,1031.07,1
13236,4951,36,744.85,0
13238,4944,31,700.73,0
13239,5188,21,329.56,1
13240,5023,67,663.65,0
13242,5039,13,270.40000000000003,0
13243,5130,57,585.12,1
13244,5019,27,121.74000000000001,0
13245,4977,16,430.5,0
13246,4945,136,1961.52,0
13247,4944,25,501.12,0
13248,5051,26,465.68,0
13249,5019,23,711.41,0
13253,5083,36,1030.4,1
13255,4936,13,399.51,0
13258,4938,36,672.83,0
13259,4988,81,283.18,0
13260,4988,8,557.62,0
13261,5195,9,944.1,1
13262,5190,11,200.29,1
13263,4928,1667,7436.93,4
13265,4980,90,2092.66,0
13266,4938,187,3834.2599999999998,0
13267,4929,211,4521.49,0
13268,4944,433,3174.75,0
13269,4928,315,5343.28,0
13270,5293,1,590.0,1
13271,4964,87,211.49,0
13272,4958,15,276.56,0
13273,5040,16,138.98,0
13276,4990,30,590.9300000000001,0
13277,4942,8,258.4,0
13278,4967,46,542.73,0
13279,5005,9,137.75,0
13280,5049,82,798.46,0
13282,4945,37,1132.14,0
13283,4986,7,93.66,0
13284,5257,13,201.19,1
13285,4950,187,2709.12,0
13291,5082,42,361.11,1
13292,4965,31,578.9399999999999,0
13294,5116,54,873.74,1
13295,5286,10,201.20000000000002,1
13296,5064,5,87.4,0
13297,4934,59,2089.85,0
13298,4928,2,360.0,0
13299,5195,5,142.5,1
13300,5096,20,371.89,1
13301,5030,81,618.09,0
13302,5082,1,63.75,1
13304,5278,21,300.42,1
13305,4931,81,2000.86,0
13307,5047,1,15.0,0
13308,4949,54,1385.51,0
13309,4934,107,1456.79,0
13310,4955,72,1132.03,0
13311,4931,26,598.57,0
13313,4949,78,1555.32,0
13314,4928,62,775.94,0
13316,4964,86,5732.93,0
13317,4993,124,2273.68,0
13318,4928,20,640.76,0
13319,4932,476,10845.550000000001,0
13320,5005,105,1532.2,0
13321,4999,11,567.36,0
13322,4944,25,199.48000000000002,0
13323,4930,21,787.85,0
13324,4963,75,7121.95,0
13325,5008,12,675.3,0
13327,4965,108,3627.77,0
13328,5243,17,1308.48,1
13329,4958,17,789.0,0
13330,5019,53,1140.93,0
13332,4941,21,350.9,0
13334,5009,265,3502.32,0
13336,5004,51,795.12,0
13338,5084,19,487.02,1
13339,5127,54,860.12,1
13340,4972,134,10736.48,0
13341,5187,42,775.85,1
13343,5104,19,353.43,1
13344,4994,116,2511.69,0
13345,5214,20,389.5,1
13347,4997,8,341.36,0
13348,4991,14,233.76,0
13349,4937,16,247.32,0
13350,4943,40,979.12,0
13351,4993,16,373.94,0
13352,4987,24,397.97999999999996,0
13354,4998,51,743.53,0
13355,5049,32,674.7,0
13356,5007,42,768.24,0
13357,5184,89,609.4,1
13358,5195,29,439.03,1
13359,4990,23,439.56,0
13362,4936,166,3090.7400000000002,0
13363,4944,60,992.5,0
13364,4998,10,134.95999999999998,0
13365,4960,128,2225.37,0
13366,4977,1,56.160000000000004,0
13368,5183,29,623.4,1
13369,5292,14,308.28000000000003,1
13370,5298,39,754.87,1
13372,5016,23,378.64,0
13373,4987,158,3312.25,0
13375,5015,37,778.65,0
13376,5026,53,1019.76,0
13379,4953,97,572.56,0
13381,4958,172,3639.31,0
13382,5207,15,222.99,1
13384,4957,152,4151.93,0
13385,5256,35,534.57,1
13388,5058,35,677.1,0
13389,4938,51,797.96,0
13390,5001,13,544.08,0
13391,5130,1,59.8,1
13394,4928,155,2520.02,0
13395,5112,21,307.72,1
13396,4956,43,1360.99,0
13397,4999,38,1544.13,0
13398,5119,26,457.34,1
13402,5054,39,621.23,0
13403,4944,3,75.0,0
13404,4928,11,252.49,0
13405,5001,27,572.451,0
13408,4928,478,28117.04,4
13410,4951,28,1003.06,0
13411,5034,18,213.55,0
13414,5060,24,1390.5,0
13416,4970,19,712.5,0
13417,4931,28,640.83,0
13418,4938,304,6127.43,0
13419,4990,16,221.06,0
13420,5076,8,159.85,1
13421,4967,102,1833.71,0
13422,4991,127,2626.3,0
13425,5035,78,1624.21,0
13426,4927,157,3641.32,0
13427,4946,29,582.6,0
13428,4937,71,201.78,0
13429,4937,67,1006.8,0
13430,4945,49,679.45,0
13431,4994,46,1269.1,0
13434,5001,10,534.24,0
13435,4932,101,3809.8900000000003,0
13436,4928,12,196.89,0
13437,4941,167,3408.06,0
13439,5182,54,283.71,1
13441,5018,13,296.64,0
13447,4950,59,1129.14,0
13448,4943,194,3534.69,0
13449,4950,19,291.88,0
13450,4953,71,2043.7199999999998,0
13451,4953,433,2898.2599999999998,0
13452,5186,2,590.0,1
13453,5092,17,356.97999999999996,1
13455,4951,46,1058.34,0
13456,4944,63,1766.72,0
13458,4934,382,9646.57,0
13460,4956,17,183.44,0
13461,4965,27,1445.0,0
13462,5179,9,151.5,1
13464,4985,41,674.68,0
13466,5111,17,307.9,1
13467,4937,98,1071.91,0
13468,4928,302,5704.97,0
13470,5026,10,165.0,0
13471,4928,254,2501.84,0
13473,4987,21,422.64,0
13474,5163,62,226.84,1
13475,5118,86,1431.78,1
13476,5105,58,1238.47,1
13477,4964,79,1454.58,0
13479,5127,15,300.95,1
13481,4972,109,1804.56,0
13482,5159,11,184.64,1
13483,4992,10,140.34,0
13484,5168,8,313.8,1
13485,5160,23,454.24,1
13486,5005,69,1122.41,0
13487,4984,34,575.4,0
13488,4944,422,8968.31,0
13489,5032,14,449.52,0
13491,4978,86,1215.82,0
13492,5063,50,1269.84,0
13493,5202,8,618.63,1
13494,5238,18,316.26000000000005,1
13495,4934,48,2044.8700000000001,0
13496,4937,35,653.33,0
13497,5209,19,348.05,1
13499,4944,42,1159.11,0
13500,4950,65,1166.77,0
13501,5215,52,1340.32,1
13502,4943,18,292.0,0
13503,4998,17,216.85,0
13504,4991,22,295.93,0
13505,4999,215,4393.63,0
13506,5243,26,458.52,1
13507,4930,162,2479.16,0
13508,5170,12,110.97,1
13509,4935,44,979.72,0
13510,4928,115,1791.56,0
13512,5187,15,251.21,1
13513,5053,10,205.1,0
13514,5000,4,152.20000000000002,0
13515,4999,59,891.12,0
13516,4948,44,1389.41,0
13517,4986,141,2128.42,0
13518,5012,36,627.16,0
13519,5005,8,122.75,0
13520,4985,93,3624.35,0
13521,4928,418,1071.73,0
13522,4957,5,125.80000000000001,0
13523,4960,172,3964.88,0
13524,4967,27,680.1800000000001,0
13525,4941,6,628.78,0
13527,4960,217,2242.36,0
13529,5005,15,307.76,0
13531,5132,22,483.8,1
13532,4960,66,210.31,0
13533,5109,75,269.09,1
13534,4929,296,5870.08,0
13536,4928,178,3444.39,0
13538,4970,25,1280.85,0
13539,5012,37,631.34,0
13544,4966,78,276.06,0
13546,4939,97,621.09,0
13548,5023,123,678.16,0
13549,4952,51,918.2,0
13551,5246,4,91.80000000000001,1
13552,4993,109,3740.07,0
13555,5000,135,4098.88,0
13557,4955,34,584.06,0
13558,4932,169,594.52,0
13560,4934,32,171.42000000000002,0
13561,5142,14,141.85999999999999,1
13562,5008,82,1799.33,0
13563,5011,49,777.53,0
13564,5071,81,1724.67,0
13565,4946,38,240.22,0
13566,4967,169,856.84,0
13568,5100,43,187.05,1
13569,4944,79,338.62,0
13570,5170,27,239.49,1
13571,4939,340,2088.94,0
13572,5132,33,1384.25,1
13573,4977,25,290.25,0
13575,4950,46,732.0699999999999,0
13576,4937,126,6717.34,0
13577,4952,83,1687.6000000000001,0
13579,4941,23,467.04,0
13581,5236,10,118.0,1
13583,5082,53,781.03,1
13584,5233,24,142.4,1
13587,4990,8,712.4,0
13588,4942,174,2478.95,0
13589,4941,21,379.65,0
13590,4938,87,1981.92,0
13591,4991,58,1117.13,0
13592,4962,16,247.95999999999998,0
13593,5035,127,2011.88,0
13594,4979,26,396.97,0
13596,4932,146,664.11,0
13598,4974,35,160.04,0
